group,metric,target,spearman_rho,spearman_p,kendall_tau,kendall_p
plain_cnn,snip,val_acc,0.2867132867132868,0.36625146058358227,0.2121212121212121,0.38070480349126185
plain_cnn,grasp,val_acc,-0.3426573426573427,0.2755674509567803,-0.2121212121212121,0.38070480349126185
plain_cnn,synflow,val_acc,0.9370629370629372,6.99316495321054e-06,0.8181818181818181,4.4129288920955584e-05
plain_cnn,fisher,val_acc,-0.006993006993006993,0.9827917689028476,0.0,1.0
plain_cnn,jacob_cov,val_acc,-0.5664335664335665,0.05484211977540786,-0.39393939393939387,0.0863171145983646
plain_cnn,grad_norm,val_acc,-0.013986013986013986,0.9655902689187795,0.0303030303030303,0.9465592891547753
plain_cnn,naswot,val_acc,0.6573426573426573,0.020185498509854103,0.5151515151515151,0.020980351631393297
plain_cnn,vote_score,val_acc,0.46585010144500033,0.12691907673410677,0.3511552695176641,0.11390323413538203
plain_cnn,snip,val_f1_macro,0.2867132867132868,0.36625146058358227,0.2121212121212121,0.38070480349126185
plain_cnn,grasp,val_f1_macro,-0.3426573426573427,0.2755674509567803,-0.2121212121212121,0.38070480349126185
plain_cnn,synflow,val_f1_macro,0.9370629370629372,6.99316495321054e-06,0.8181818181818181,4.4129288920955584e-05
plain_cnn,fisher,val_f1_macro,-0.006993006993006993,0.9827917689028476,0.0,1.0
plain_cnn,jacob_cov,val_f1_macro,-0.5664335664335665,0.05484211977540786,-0.39393939393939387,0.0863171145983646
plain_cnn,grad_norm,val_f1_macro,-0.013986013986013986,0.9655902689187795,0.0303030303030303,0.9465592891547753
plain_cnn,naswot,val_f1_macro,0.6573426573426573,0.020185498509854103,0.5151515151515151,0.020980351631393297
plain_cnn,vote_score,val_f1_macro,0.46585010144500033,0.12691907673410677,0.3511552695176641,0.11390323413538203
plain_cnn,snip,val_mse,-0.22377622377622378,0.48445166145539886,-0.2121212121212121,0.38070480349126185
plain_cnn,grasp,val_mse,0.3076923076923077,0.3305892594121097,0.1515151515151515,0.5452047007776174
plain_cnn,synflow,val_mse,-0.9300699300699302,1.170222792865967e-05,-0.8181818181818181,4.4129288920955584e-05
plain_cnn,fisher,val_mse,0.02097902097902098,0.9484022252365223,0.0,1.0
plain_cnn,jacob_cov,val_mse,0.6503496503496504,0.022034190932365295,0.4545454545454545,0.04473689858238469
plain_cnn,grad_norm,val_mse,0.06293706293706294,0.8459309212287789,-0.0303030303030303,0.9465592891547753
plain_cnn,naswot,val_mse,-0.6223776223776225,0.03067589506164013,-0.5151515151515151,0.020980351631393297
plain_cnn,vote_score,val_mse,-0.42031588100300776,0.17368606045926624,-0.3511552695176641,0.11390323413538203
plain_cnn,snip,train_time_sec,-0.21678321678321683,0.49855598552418856,-0.1818181818181818,0.459023957331249
plain_cnn,grasp,train_time_sec,0.07692307692307693,0.8121826980280591,0.0606060606060606,0.8405883696421891
plain_cnn,synflow,train_time_sec,-0.034965034965034975,0.9140933424107598,-0.0606060606060606,0.8405883696421891
plain_cnn,fisher,train_time_sec,-0.10489510489510491,0.7456094809807079,-0.0909090909090909,0.7373055246579552
plain_cnn,jacob_cov,train_time_sec,0.18881118881118883,0.5567370561768314,0.1212121212121212,0.6383612539081289
plain_cnn,grad_norm,train_time_sec,-0.27272727272727276,0.3910967709418962,-0.2424242424242424,0.3108100139957779
plain_cnn,naswot,train_time_sec,-0.2027972027972028,0.5273023541661082,-0.1212121212121212,0.6383612539081289
plain_cnn,vote_score,train_time_sec,-0.2031526758181204,0.5265630529109769,-0.1679438245519263,0.4496025895128464
plain_cnn,snip,infer_ms_per_sample,-0.08391608391608392,0.7954145018538977,-0.0606060606060606,0.8405883696421891
plain_cnn,grasp,infer_ms_per_sample,0.09090909090909093,0.7787253962454419,0.0606060606060606,0.8405883696421891
plain_cnn,synflow,infer_ms_per_sample,-0.2867132867132868,0.36625146058358227,-0.1818181818181818,0.459023957331249
plain_cnn,fisher,infer_ms_per_sample,0.2797202797202798,0.37856866966230307,0.2121212121212121,0.38070480349126185
plain_cnn,jacob_cov,infer_ms_per_sample,0.4755244755244756,0.11817595701303213,0.303030303030303,0.19694994338223504
plain_cnn,grad_norm,infer_ms_per_sample,0.11188811188811189,0.729194990751066,0.0,1.0
plain_cnn,naswot,infer_ms_per_sample,-0.41958041958041964,0.1745190081300594,-0.3636363636363636,0.11595087782587783
plain_cnn,vote_score,infer_ms_per_sample,-0.11558686727582713,0.7205545635404205,-0.07633810206905742,0.7310931976144446
residual_cnn,snip,val_acc,0.4825174825174825,0.11210929146889191,0.4242424242424242,0.06286914699241088
residual_cnn,grasp,val_acc,-0.4125874125874127,0.18256397857316675,-0.3636363636363636,0.11595087782587783
residual_cnn,synflow,val_acc,0.7062937062937064,0.010245193941127852,0.5454545454545454,0.013770768197851531
residual_cnn,fisher,val_acc,0.2797202797202798,0.37856866966230307,0.1515151515151515,0.5452047007776174
residual_cnn,jacob_cov,val_acc,-0.027972027972027972,0.9312343512018808,-0.0303030303030303,0.9465592891547753
residual_cnn,grad_norm,val_acc,0.4685314685314686,0.12445479118883397,0.39393939393939387,0.0863171145983646
residual_cnn,naswot,val_acc,0.7272727272727274,0.007355028857805126,0.5757575757575757,0.008757732750788306
residual_cnn,vote_score,val_acc,0.4895104895104896,0.106252371759346,0.4242424242424242,0.06286914699241088
residual_cnn,snip,val_f1_macro,0.5314685314685316,0.07536233505348364,0.4545454545454545,0.04473689858238469
residual_cnn,grasp,val_f1_macro,-0.46153846153846156,0.13094806950717278,-0.39393939393939387,0.0863171145983646
residual_cnn,synflow,val_f1_macro,0.7342657342657343,0.006543490146837885,0.5757575757575757,0.008757732750788306
residual_cnn,fisher,val_f1_macro,0.30069930069930073,0.34225952894002465,0.1818181818181818,0.459023957331249
residual_cnn,jacob_cov,val_f1_macro,-0.06293706293706294,0.8459309212287789,-0.0606060606060606,0.8405883696421891
residual_cnn,grad_norm,val_f1_macro,0.5104895104895105,0.08991373630263913,0.4242424242424242,0.06286914699241088
residual_cnn,naswot,val_f1_macro,0.7692307692307694,0.0034464502618274493,0.606060606060606,0.005380307706696595
residual_cnn,vote_score,val_f1_macro,0.5384615384615385,0.07089431754922315,0.4545454545454545,0.04473689858238469
residual_cnn,snip,val_mse,-0.44055944055944063,0.15173503571673025,-0.39393939393939387,0.0863171145983646
residual_cnn,grasp,val_mse,0.35664335664335667,0.25513775175895725,0.3333333333333333,0.15259045898802842
residual_cnn,synflow,val_mse,-0.6853146853146854,0.013905968814362742,-0.5151515151515151,0.020980351631393297
residual_cnn,fisher,val_mse,-0.20979020979020982,0.5128409431818263,-0.1212121212121212,0.6383612539081289
residual_cnn,jacob_cov,val_mse,0.04895104895104895,0.8799185788786749,0.0606060606060606,0.8405883696421891
residual_cnn,grad_norm,val_mse,-0.41958041958041964,0.1745190081300594,-0.3636363636363636,0.11595087782587783
residual_cnn,naswot,val_mse,-0.7132867132867133,0.009201779777634755,-0.5454545454545454,0.013770768197851531
residual_cnn,vote_score,val_mse,-0.44055944055944063,0.15173503571673025,-0.39393939393939387,0.0863171145983646
residual_cnn,snip,train_time_sec,0.04895104895104895,0.8799185788786749,0.0606060606060606,0.8405883696421891
residual_cnn,grasp,train_time_sec,0.013986013986013986,0.9655902689187795,0.0,1.0
residual_cnn,synflow,train_time_sec,0.08391608391608392,0.7954145018538977,0.1212121212121212,0.6383612539081289
residual_cnn,fisher,train_time_sec,0.006993006993006993,0.9827917689028476,-0.0303030303030303,0.9465592891547753
residual_cnn,jacob_cov,train_time_sec,0.0,1.0,-0.0303030303030303,0.9465592891547753
residual_cnn,grad_norm,train_time_sec,0.1328671328671329,0.6805975082860818,0.1515151515151515,0.5452047007776174
residual_cnn,naswot,train_time_sec,0.39860139860139865,0.19933549461780894,0.2727272727272727,0.24957952123750735
residual_cnn,vote_score,train_time_sec,0.034965034965034975,0.9140933424107598,0.0606060606060606,0.8405883696421891
residual_cnn,snip,infer_ms_per_sample,0.3356643356643357,0.28612290291498754,0.2121212121212121,0.38070480349126185
residual_cnn,grasp,infer_ms_per_sample,-0.2937062937062937,0.35414764123292175,-0.1515151515151515,0.5452047007776174
residual_cnn,synflow,infer_ms_per_sample,0.44055944055944063,0.15173503571673025,0.3333333333333333,0.15259045898802842
residual_cnn,fisher,infer_ms_per_sample,0.14685314685314685,0.6487957097846664,0.0606060606060606,0.8405883696421891
residual_cnn,jacob_cov,infer_ms_per_sample,0.22377622377622378,0.48445166145539886,0.1212121212121212,0.6383612539081289
residual_cnn,grad_norm,infer_ms_per_sample,0.27272727272727276,0.3910967709418962,0.1818181818181818,0.459023957331249
residual_cnn,naswot,infer_ms_per_sample,0.6013986013986015,0.038588452922019435,0.4242424242424242,0.06286914699241088
residual_cnn,vote_score,infer_ms_per_sample,0.2657342657342658,0.40383308831471165,0.1515151515151515,0.5452047007776174
